Inter.	DataeHora	Comp.onda(nm)	Sinal	Unid.	Fase(º)	Freq.(Hz)
136	04/02/2015-11:09:33	8749.976000	0.002590	V	100.620000	98.706000
137	04/02/2015-11:09:35	8799.992000	0.002480	V	100.450000	98.745000
138	04/02/2015-11:09:37	8849.974000	0.002420	V	100.590000	98.789000
139	04/02/2015-11:09:39	8899.986000	0.002320	V	100.560000	98.809000
140	04/02/2015-11:09:41	8949.996000	0.002240	V	100.260000	98.750000
141	04/02/2015-11:09:43	8999.970000	0.002110	V	100.750000	98.629000
142	04/02/2015-11:09:45	9049.975000	0.001990	V	100.830000	98.667000
143	04/02/2015-11:09:47	9099.978000	0.001890	V	100.360000	98.546000
144	04/02/2015-11:09:49	9149.975000	0.001770	V	100.330000	98.629000
145	04/02/2015-11:09:51	9199.970000	0.001690	V	100.320000	98.609000
146	04/02/2015-11:09:53	9249.994000	0.001600	V	100.340000	98.497000
147	04/02/2015-11:09:55	9299.981000	0.001530	V	100.650000	98.599000
148	04/02/2015-11:09:57	9349.963000	0.001440	V	100.730000	98.604000
149	04/02/2015-11:09:59	9399.973000	0.001380	V	100.580000	98.828000
150	04/02/2015-11:10:01	9449.980000	0.001320	V	100.670000	98.799000
151	04/02/2015-11:10:04	9499.979000	0.001240	V	101.040000	98.721000
152	04/02/2015-11:10:06	9549.975000	0.001160	V	101.160000	98.633000
153	04/02/2015-11:10:08	9599.963000	0.001100	V	100.950000	98.970000
154	04/02/2015-11:10:10	9649.980000	0.001040	V	100.990000	98.794000
155	04/02/2015-11:10:12	9699.988000	0.000980	V	101.080000	98.599000
156	04/02/2015-11:10:14	9749.990000	0.000930	V	101.010000	98.755000
157	04/02/2015-11:10:16	9799.986000	0.000880	V	100.990000	98.585000
158	04/02/2015-11:10:18	9849.973000	0.000840	V	101.240000	98.648000
159	04/02/2015-11:10:20	9899.986000	0.000790	V	100.880000	98.765000
160	04/02/2015-11:10:22	9949.993000	0.000760	V	100.870000	98.687000
161	04/02/2015-11:10:24	9999.988000	0.000700	V	100.590000	98.745000
162	04/02/2015-11:10:26	10049.976000	0.000640	V	100.780000	98.726000
163	04/02/2015-11:10:28	10099.988000	0.000600	V	100.940000	98.663000
164	04/02/2015-11:10:30	10149.992000	0.000550	V	100.210000	98.643000
165	04/02/2015-11:10:32	10199.986000	0.000560	V	102.310000	98.556000
166	04/02/2015-11:10:34	10249.968000	0.000520	V	101.630000	98.595000
167	04/02/2015-11:10:36	10299.975000	0.000500	V	100.970000	98.488000
168	04/02/2015-11:10:38	10349.971000	0.000450	V	100.080000	98.643000
169	04/02/2015-11:10:41	10399.989000	0.000420	V	100.120000	98.823000
170	04/02/2015-11:10:43	10449.994000	0.000400	V	102.140000	98.765000
171	04/02/2015-11:10:45	10499.989000	0.000390	V	100.880000	98.877000
172	04/02/2015-11:10:47	10549.972000	0.000360	V	101.610000	98.941000
173	04/02/2015-11:10:49	10599.976000	0.000360	V	102.360000	98.941000
174	04/02/2015-11:10:51	10649.969000	0.000340	V	103.050000	98.702000
175	04/02/2015-11:10:53	10699.979000	0.000300	V	103.130000	98.770000
176	04/02/2015-11:10:55	10749.977000	0.000320	V	99.600000	98.770000
177	04/02/2015-11:10:57	10799.962000	0.000310	V	100.950000	98.716000
178	04/02/2015-11:10:59	10849.966000	0.000280	V	101.890000	98.736000
179	04/02/2015-11:11:01	10899.988000	0.000280	V	100.120000	98.916000
180	04/02/2015-11:11:03	10949.962000	0.000250	V	101.310000	98.702000
181	04/02/2015-11:11:05	10999.988000	0.000260	V	103.240000	98.823000
182	04/02/2015-11:11:07	11049.967000	0.000230	V	102.010000	98.804000
183	04/02/2015-11:11:09	11099.993000	0.000220	V	102.800000	98.867000
184	04/02/2015-11:11:11	11149.973000	0.000190	V	103.320000	98.956000
185	04/02/2015-11:11:13	11199.968000	0.000200	V	102.380000	99.068000
186	04/02/2015-11:11:15	11249.979000	0.000190	V	101.590000	98.809000
187	04/02/2015-11:11:17	11299.974000	0.000170	V	99.720000	98.706000
188	04/02/2015-11:11:20	11349.984000	0.000160	V	104.820000	98.750000
189	04/02/2015-11:11:22	11399.975000	0.000160	V	102.340000	98.716000
190	04/02/2015-11:11:24	11449.982000	0.000130	V	100.490000	98.814000
191	04/02/2015-11:11:26	11499.969000	0.000150	V	97.590000	98.750000
192	04/02/2015-11:11:28	11549.971000	0.000140	V	97.850000	98.804000
193	04/02/2015-11:11:30	11599.988000	0.000140	V	99.780000	98.658000
194	04/02/2015-11:11:32	11649.982000	0.000130	V	98.740000	98.741000
195	04/02/2015-11:11:34	11699.992000	0.000130	V	102.990000	98.711000
196	04/02/2015-11:11:36	11749.979000	0.000110	V	100.300000	98.658000
197	04/02/2015-11:11:38	11799.980000	0.000130	V	107.740000	98.755000
198	04/02/2015-11:11:40	11849.988000	0.000100	V	101.310000	98.780000
199	04/02/2015-11:11:42	11899.980000	0.000130	V	105.070000	98.614000
200	04/02/2015-11:11:44	11949.979000	0.000100	V	105.940000	98.931000
201	04/02/2015-11:11:46	11999.989000	0.000110	V	104.620000	98.799000
202	04/02/2015-11:11:48	12049.977000	0.000110	V	97.430000	98.653000
203	04/02/2015-11:11:50	12099.975000	0.000100	V	101.310000	98.755000
204	04/02/2015-11:11:52	12149.980000	0.000110	V	102.800000	98.541000
205	04/02/2015-11:11:54	12199.993000	0.000100	V	92.860000	98.780000
206	04/02/2015-11:11:56	12249.985000	0.000110	V	102.260000	98.843000
207	04/02/2015-11:11:58	12299.982000	0.000100	V	98.130000	98.570000
208	04/02/2015-11:12:01	12349.988000	0.000100	V	103.390000	98.780000
209	04/02/2015-11:12:03	12399.968000	0.000120	V	101.770000	98.936000
210	04/02/2015-11:12:05	12449.986000	0.000110	V	99.860000	98.892000
211	04/02/2015-11:12:07	12499.977000	0.000120	V	99.460000	98.711000
212	04/02/2015-11:12:09	12549.975000	0.000110	V	99.860000	98.789000
213	04/02/2015-11:12:11	12599.977000	0.000100	V	101.310000	98.706000
214	04/02/2015-11:12:13	12649.986000	0.000100	V	106.700000	98.804000
215	04/02/2015-11:12:15	12699.995000	0.000090	V	102.530000	98.745000
216	04/02/2015-11:12:17	12749.978000	0.000090	V	96.010000	98.828000
217	04/02/2015-11:12:19	12799.965000	0.000080	V	108.430000	98.838000
218	04/02/2015-11:12:21	12849.984000	0.000090	V	102.530000	98.804000
219	04/02/2015-11:12:23	12899.974000	0.000080	V	93.360000	98.711000
220	04/02/2015-11:12:25	12949.967000	0.000070	V	101.310000	98.677000
221	04/02/2015-11:12:27	12999.993000	0.000070	V	105.940000	98.736000
222	04/02/2015-11:12:29	13049.989000	0.000060	V	102.990000	98.726000
223	04/02/2015-11:12:31	13099.983000	0.000070	V	93.810000	98.858000
224	04/02/2015-11:12:33	13149.979000	0.000060	V	99.460000	98.907000
225	04/02/2015-11:12:35	13200.003000	0.000060	V	104.040000	98.765000
226	04/02/2015-11:12:37	13250.028000	0.000050	V	100.300000	98.692000
227	04/02/2015-11:12:40	13300.051000	0.000070	V	98.130000	98.760000
228	04/02/2015-11:12:47	13350.010000	0.000070	V	98.130000	98.867000
229	04/02/2015-11:12:49	13400.028000	0.000050	V	109.980000	98.867000
230	04/02/2015-11:12:51	13450.045000	0.000050	V	106.700000	98.624000
231	04/02/2015-11:12:53	13500.057000	0.000050	V	90.000000	98.911000
232	04/02/2015-11:12:55	13550.002000	0.000050	V	106.700000	98.697000
233	04/02/2015-11:12:57	13600.006000	0.000050	V	101.310000	98.780000
234	04/02/2015-11:12:59	13650.005000	0.000050	V	90.000000	98.838000
235	04/02/2015-11:13:01	13700.058000	0.000050	V	90.000000	98.858000
236	04/02/2015-11:13:03	13750.046000	0.000040	V	102.530000	98.726000
237	04/02/2015-11:13:05	13800.026000	0.000050	V	100.300000	98.941000
238	04/02/2015-11:13:07	13850.000000	0.000030	V	90.000000	98.911000
239	04/02/2015-11:13:09	13900.028000	0.000040	V	110.560000	98.867000
240	04/02/2015-11:13:11	13950.046000	0.000050	V	102.530000	98.897000
241	04/02/2015-11:13:13	14000.058000	0.000040	V	104.040000	98.902000
242	04/02/2015-11:13:15	14050.058000	0.000040	V	108.430000	98.682000
243	04/02/2015-11:13:18	14100.048000	0.000050	V	101.310000	98.755000
244	04/02/2015-11:13:20	14150.030000	0.000030	V	105.940000	98.951000
245	04/02/2015-11:13:22	14200.001000	0.000040	V	116.570000	99.112000
246	04/02/2015-11:13:24	14250.020000	0.000040	V	110.560000	98.946000
247	04/02/2015-11:13:26	14300.029000	0.000030	V	108.430000	98.975000
248	04/02/2015-11:13:28	14350.025000	0.000020	V	120.960000	98.887000
249	04/02/2015-11:13:30	14400.009000	0.000020	V	126.870000	98.931000
250	04/02/2015-11:13:32	14450.038000	0.000030	V	113.200000	98.902000
251	04/02/2015-11:13:34	14500.054000	0.000030	V	99.460000	98.907000
252	04/02/2015-11:13:36	14550.055000	0.000020	V	111.800000	98.819000
253	04/02/2015-11:13:38	14600.038000	0.000030	V	90.000000	98.789000
254	04/02/2015-11:13:40	14650.009000	0.000040	V	110.560000	98.882000
255	04/02/2015-11:13:42	14700.022000	0.000030	V	135.000000	98.863000
256	04/02/2015-11:13:44	14750.018000	0.000020	V	116.570000	98.819000
257	04/02/2015-11:13:46	14800.057000	0.000020	V	116.570000	98.731000
258	04/02/2015-11:13:48	14850.018000	0.000020	V	101.310000	98.926000
259	04/02/2015-11:13:50	14900.019000	0.000020	V	128.660000	98.745000
260	04/02/2015-11:13:52	14950.061000	0.000010	V	153.440000	98.838000
261	04/02/2015-11:13:54	15000.022000	0.000020	V	90.000000	98.882000
